Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,223.000000,224.000000,221.000000,222.500000,213.724014,18463792
2018-10-30,221.000000,225.000000,220.500000,223.000000,214.204285,28877931
2018-10-31,228.000000,234.000000,228.000000,234.000000,224.770416,57283201
2018-11-01,236.000000,237.000000,233.000000,235.500000,226.211243,41974797
2018-11-02,236.500000,236.500000,233.500000,236.500000,227.171799,30722361
2018-11-05,233.000000,235.500000,232.000000,235.000000,225.730972,25452065
2018-11-06,234.000000,235.500000,232.500000,234.500000,225.250687,30468176
2018-11-07,233.000000,236.000000,232.500000,234.000000,224.770416,34424652
2018-11-08,237.500000,237.500000,236.000000,236.500000,227.171799,24739146
2018-11-09,234.500000,234.500000,231.000000,231.000000,221.888733,23219081
2018-11-12,230.000000,234.500000,230.000000,231.500000,222.369019,23228445
2018-11-13,224.500000,228.000000,224.500000,227.500000,218.526794,36104127
2018-11-14,230.000000,231.000000,228.500000,228.500000,219.487350,20028279
2018-11-15,229.500000,232.000000,228.500000,231.000000,221.888733,22072228
2018-11-16,229.000000,229.000000,225.000000,226.000000,217.085953,46738909
2018-11-19,225.000000,225.000000,221.000000,222.000000,213.243729,48944754
2018-11-20,219.000000,220.500000,218.000000,218.000000,209.401505,41569756
2018-11-21,214.500000,220.000000,214.000000,219.000000,210.362061,35206343
2018-11-22,221.500000,222.000000,219.000000,219.000000,210.362061,21929610
2018-11-23,220.500000,220.500000,217.000000,218.500000,209.881775,14883334
2018-11-26,219.000000,224.000000,218.500000,223.000000,214.204285,30599804
2018-11-27,220.000000,224.500000,219.000000,224.000000,215.164841,26584349
2018-11-28,222.500000,227.000000,222.000000,226.500000,217.566223,24429026
2018-11-29,231.500000,231.500000,229.000000,229.000000,219.967636,44383207
2018-11-30,229.500000,231.000000,225.500000,225.500000,216.605667,55827957
2018-12-03,231.000000,235.000000,231.000000,235.000000,225.730972,45333986
2018-12-04,233.000000,234.500000,231.000000,234.000000,224.770416,39746162
2018-12-05,226.500000,227.500000,225.000000,226.000000,217.085953,42835576
2018-12-06,220.000000,222.000000,219.500000,220.000000,211.322601,40149112
2018-12-07,222.500000,223.500000,220.500000,221.000000,212.283157,25063568
2018-12-10,219.500000,220.000000,218.500000,219.000000,210.362061,19433461
2018-12-11,220.000000,223.000000,219.000000,222.500000,213.724014,27375220
2018-12-12,223.500000,227.000000,222.500000,226.500000,217.566223,26433846
2018-12-13,227.000000,227.500000,225.000000,226.000000,217.085953,32087141
2018-12-14,223.000000,223.500000,220.500000,222.500000,213.724014,38646159
2018-12-17,221.000000,225.000000,220.000000,223.500000,214.684570,18938952
2018-12-18,221.000000,223.000000,220.500000,222.500000,213.724014,30203541
2018-12-19,222.000000,225.500000,222.000000,225.500000,216.605667,23390082
2018-12-20,221.000000,222.500000,221.000000,221.000000,212.283157,35027116
2018-12-21,219.000000,224.000000,219.000000,223.500000,214.684570,43507532
2018-12-24,221.500000,221.500000,219.500000,220.000000,211.322601,22976100
2018-12-25,215.500000,218.000000,215.000000,217.500000,208.921219,19402777
2018-12-26,218.500000,219.500000,216.000000,216.500000,207.960663,16463259
2018-12-27,222.000000,224.000000,220.500000,223.000000,214.204285,21491484
2018-12-28,223.500000,225.500000,222.500000,225.500000,216.605667,29456773
2019-01-02,226.500000,226.500000,219.000000,219.500000,210.842331,32900482
2019-01-03,214.000000,218.000000,214.000000,215.500000,207.000092,34087620
2019-01-04,211.500000,211.500000,206.500000,208.000000,199.795929,65943521
2019-01-07,212.000000,214.000000,211.000000,213.000000,204.598709,35442176
2019-01-08,212.000000,212.500000,210.000000,211.000000,202.677597,22694481
2019-01-09,212.000000,216.500000,211.000000,215.500000,207.000092,46295446
2019-01-10,216.000000,216.500000,214.500000,216.000000,207.480377,20754593
2019-01-11,219.000000,220.500000,218.000000,220.500000,211.802887,28102288
